"","Date","UX8..index"
"3",2005-08-23,"16.7"
"4",2005-08-24,"16.94"
"5",2005-08-25,"17.15"
"6",2005-08-26,"17.27"
"7",2005-08-29,"17.26"
"8",2005-08-30,"17.31"
"9",2005-08-31,"17.32"
"10",2005-09-01,"17.41"
"11",2005-09-02,"17.49"
"12",2005-09-06,"17.38"
"13",2005-09-07,"17.28"
"14",2005-09-08,"17.3"
"15",2005-09-09,"17.05"
"16",2005-09-12,"16.98"
"17",2005-09-13,"16.86"
"18",2005-09-14,"16.95"
"19",2005-09-15,"16.95"
"20",2005-09-16,"17"
"21",2005-09-19,"16.94"
"22",2005-09-20,"16.83"
"23",2005-09-21,"16.89"
"24",2005-09-22,"16.86"
"25",2005-09-23,"16.78"
"26",2005-09-26,"16.81"
"27",2005-09-27,"16.75"
"28",2005-09-28,"16.7"
"29",2005-09-29,"16.31"
"30",2005-09-30,"16.31"
"31",2005-10-03,"16.21"
"32",2005-10-04,"16.28"
"33",2005-10-05,"16.44"
"34",2005-10-06,"16.61"
"35",2005-10-07,"16.42"
"36",2005-10-10,"16.62"
"37",2005-10-11,"16.73"
"38",2005-10-12,"16.72"
"39",2005-10-13,"16.89"
"40",2005-10-14,"16.78"
"41",2005-10-17,"16.72"
"42",2005-10-18,"16.82"
"43",2005-12-22,"16.19"
"44",2005-12-23,"16.25"
"45",2005-12-27,"16.39"
"46",2005-12-28,"16.4"
"47",2005-12-29,"16.38"
"48",2005-12-30,"16.47"
"49",2006-01-03,"16.3"
"50",2006-01-04,"16.22"
"51",2006-01-05,"16.21"
"52",2006-01-06,"16.18"
"53",2006-01-09,"16.01"
"54",2006-01-10,"16.03"
"55",2006-01-11,"16"
"56",2006-01-12,"16.07"
"57",2006-01-13,"16.19"
"58",2006-01-17,"16.15"
"59",2006-03-22,"15.2"
"60",2006-03-23,"15.13"
"61",2006-03-24,"15.06"
"62",2006-03-27,"15.03"
"63",2006-03-28,"14.96"
"64",2006-03-29,"14.91"
"65",2006-03-30,"14.86"
"66",2006-03-31,"14.74"
"67",2006-04-03,"14.72"
"68",2006-04-04,"14.64"
"69",2006-04-05,"14.62"
"70",2006-04-06,"14.6"
"71",2006-04-07,"14.6"
"72",2006-04-10,"14.56"
"73",2006-04-11,"14.59"
"74",2006-04-12,"14.68"
"75",2006-04-13,"14.69"
"76",2006-04-17,"14.81"
"77",2006-04-18,"14.78"
"78",2006-06-21,"16.02"
"79",2006-06-22,"16.34"
"80",2006-06-23,"16.36"
"81",2006-06-26,"16.41"
"82",2006-06-27,"16.53"
