"","Date","LUACTRUU.Index"
"66",1990-04-03,"450.63"
"67",1990-04-04,"453.02"
"68",1990-04-05,"452.88"
"69",1990-04-06,"453.06"
"70",1990-04-09,"452.66"
"71",1990-04-10,"452.57"
"72",1990-04-11,"452.84"
"73",1990-04-12,"451.76"
"74",1990-04-16,"451.40"
"75",1990-04-17,"449.37"
"76",1990-04-18,"446.94"
"77",1990-04-19,"446.90"
"78",1990-04-20,"445.37"
"79",1990-04-23,"445.10"
"80",1990-04-24,"444.56"
"81",1990-04-25,"444.65"
"82",1990-04-26,"442.99"
"83",1990-04-27,"443.30"
"84",1990-04-30,"445.17"
"85",1990-05-01,"445.10"
"86",1990-05-02,"445.23"
"87",1990-05-03,"445.37"
"88",1990-05-04,"450.49"
"89",1990-05-07,"450.09"
"90",1990-05-08,"451.11"
"91",1990-05-09,"449.33"
"92",1990-05-10,"451.20"
"93",1990-05-11,"455.43"
"94",1990-05-14,"457.43"
"95",1990-05-15,"456.45"
"96",1990-05-16,"456.05"
"97",1990-05-17,"455.79"
"98",1990-05-18,"454.76"
"99",1990-05-21,"455.25"
"100",1990-05-22,"457.39"
"101",1990-05-23,"458.19"
"102",1990-05-24,"458.19"
"103",1990-05-25,"456.63"
"104",1990-05-29,"458.15"
"105",1990-05-30,"459.17"
"106",1990-05-31,"459.57"
"107",1990-06-01,"463.66"
"108",1990-06-04,"464.67"
"109",1990-06-05,"463.43"
"110",1990-06-06,"463.66"
"111",1990-06-07,"464.17"
"112",1990-06-08,"464.12"
"113",1990-06-11,"464.12"
"114",1990-06-12,"464.17"
"115",1990-06-13,"466.19"
"116",1990-06-14,"466.97"
"117",1990-06-15,"464.81"
"118",1990-06-18,"464.17"
"119",1990-06-19,"464.07"
"120",1990-06-20,"463.06"
"121",1990-06-21,"463.94"
"122",1990-06-22,"464.21"
"123",1990-06-25,"462.92"
"124",1990-06-26,"463.84"
"125",1990-06-27,"465.13"
"126",1990-06-28,"466.23"
"127",1990-06-29,"467.42"
"128",1990-07-02,"467.66"
"129",1990-07-03,"468.36"
"130",1990-07-05,"467.99"
"131",1990-07-06,"465.75"
"132",1990-07-09,"465.00"
"133",1990-07-10,"464.53"
"134",1990-07-11,"465.14"
"135",1990-07-12,"467.15"
"136",1990-07-13,"468.36"
"137",1990-07-16,"469.16"
"138",1990-07-17,"469.30"
"139",1990-07-18,"467.85"
"140",1990-07-19,"467.62"
"141",1990-07-20,"468.50"
"142",1990-07-23,"468.88"
"143",1990-07-24,"467.76"
"144",1990-07-25,"468.46"
"145",1990-07-26,"468.83"
"146",1990-07-27,"470.42"
"147",1990-07-30,"472.90"
"148",1990-07-31,"472.71"
"149",1990-08-01,"474.46"
"150",1990-08-02,"472.10"
"151",1990-08-03,"471.29"
"152",1990-08-06,"465.15"
"153",1990-08-07,"463.92"
"154",1990-08-08,"463.68"
"155",1990-08-09,"465.05"
"156",1990-08-10,"465.67"
"157",1990-08-13,"466.00"
"158",1990-08-14,"466.23"
"159",1990-08-15,"467.51"
"160",1990-08-16,"464.53"
"161",1990-08-17,"463.82"
"162",1990-08-20,"464.39"
"163",1990-08-21,"463.87"
"164",1990-08-22,"462.12"
"165",1990-08-23,"460.28"
"166",1990-08-24,"459.24"
"167",1990-08-27,"462.93"
"168",1990-08-28,"462.12"
"169",1990-08-29,"464.63"
"170",1990-08-30,"464.30"
"171",1990-08-31,"465.18"
"172",1990-09-04,"464.54"
"173",1990-09-05,"465.99"
"174",1990-09-06,"466.26"
"175",1990-09-07,"467.33"
"176",1990-09-10,"466.64"
"177",1990-09-11,"466.96"
"178",1990-09-12,"467.38"
"179",1990-09-13,"467.61"
"180",1990-09-14,"466.36"
"181",1990-09-17,"465.99"
"182",1990-09-18,"466.40"
"183",1990-09-19,"466.78"
"184",1990-09-20,"466.12"
"185",1990-09-21,"464.54"
"186",1990-09-24,"463.85"
"187",1990-09-25,"464.45"
"188",1990-09-26,"464.68"
"189",1990-09-27,"467.06"
"190",1990-09-28,"467.31"
"191",1990-10-01,"470.00"
"192",1990-10-02,"470.42"
"193",1990-10-03,"470.47"
"194",1990-10-04,"471.40"
"195",1990-10-05,"472.29"
"196",1990-10-09,"468.22"
"197",1990-10-10,"467.29"
"198",1990-10-11,"466.35"
"199",1990-10-12,"468.69"
"200",1990-10-15,"467.19"
"201",1990-10-16,"467.57"
"202",1990-10-17,"468.69"
"203",1990-10-18,"469.86"
"204",1990-10-19,"472.05"
"205",1990-10-22,"472.48"
"206",1990-10-23,"472.01"
"207",1990-10-24,"472.05"
"208",1990-10-25,"473.36"
"209",1990-10-26,"473.04"
"210",1990-10-29,"471.91"
"211",1990-10-30,"471.96"
"212",1990-10-31,"469.41"
"213",1990-11-01,"471.69"
"214",1990-11-02,"471.93"
"215",1990-11-05,"473.85"
"216",1990-11-06,"473.80"
"217",1990-11-07,"472.25"
"218",1990-11-08,"472.25"
"219",1990-11-09,"474.55"
"220",1990-11-13,"477.56"
"221",1990-11-14,"478.07"
"222",1990-11-15,"475.16"
"223",1990-11-16,"476.81"
"224",1990-11-19,"476.39"
"225",1990-11-20,"477.51"
"226",1990-11-21,"478.92"
"227",1990-11-23,"478.69"
"228",1990-11-26,"479.48"
"229",1990-11-27,"479.25"
"230",1990-11-28,"478.73"
"231",1990-11-29,"478.54"
"232",1990-11-30,"479.06"
"233",1990-12-03,"480.74"
"234",1990-12-04,"481.26"
"235",1990-12-05,"482.17"
"236",1990-12-06,"481.74"
"237",1990-12-07,"485.82"
"238",1990-12-10,"487.44"
"239",1990-12-11,"488.74"
"240",1990-12-12,"489.60"
"241",1990-12-13,"487.78"
"242",1990-12-14,"484.43"
"243",1990-12-17,"485.67"
"244",1990-12-18,"486.58"
"245",1990-12-19,"486.34"
"246",1990-12-20,"485.58"
"247",1990-12-21,"483.95"
"248",1990-12-24,"482.32"
"249",1990-12-26,"483.95"
"250",1990-12-27,"485.19"
"251",1990-12-28,"484.28"
"252",1990-12-31,"485.81"
"253",1991-01-02,"489.36"
"254",1991-01-03,"490.43"
"255",1991-01-04,"488.29"
"256",1991-01-07,"485.81"
"257",1991-01-08,"484.84"
"258",1991-01-09,"482.95"
"259",1991-01-10,"485.18"
"260",1991-01-11,"485.23"
"261",1991-01-14,"484.36"
"262",1991-01-15,"485.81"
"263",1991-01-16,"485.81"
"264",1991-01-17,"490.62"
"265",1991-01-18,"491.45"
"266",1991-01-21,"490.87"
"267",1991-01-22,"490.62"
"268",1991-01-23,"491.50"
"269",1991-01-24,"492.47"
"270",1991-01-25,"490.96"
"271",1991-01-28,"491.69"
"272",1991-01-29,"492.47"
"273",1991-01-30,"492.13"
"274",1991-01-31,"491.96"
"275",1991-02-01,"495.48"
"276",1991-02-04,"496.81"
"277",1991-02-05,"498.18"
"278",1991-02-06,"498.63"
"279",1991-02-07,"497.94"
"280",1991-02-08,"499.71"
"281",1991-02-11,"500.30"
"282",1991-02-12,"500.79"
"283",1991-02-13,"500.79"
"284",1991-02-14,"500.45"
"285",1991-02-15,"502.17"
"286",1991-02-19,"501.83"
"287",1991-02-20,"501.04"
"288",1991-02-21,"500.55"
"289",1991-02-22,"499.51"
"290",1991-02-25,"500.45"
"291",1991-02-26,"498.63"
"292",1991-02-27,"498.38"
"293",1991-02-28,"500.38"
"294",1991-03-01,"497.54"
"295",1991-03-04,"498.00"
"296",1991-03-05,"498.85"
"297",1991-03-06,"498.50"
"298",1991-03-07,"499.65"
"299",1991-03-08,"498.25"
"300",1991-03-11,"500.55"
"301",1991-03-12,"499.80"
"302",1991-03-13,"501.70"
"303",1991-03-14,"502.15"
"304",1991-03-15,"502.30"
"305",1991-03-18,"501.35"
"306",1991-03-19,"498.70"
"307",1991-03-20,"500.20"
"308",1991-03-21,"501.35"
"309",1991-03-22,"501.80"
"310",1991-03-25,"502.25"
"311",1991-03-26,"502.45"
"312",1991-03-27,"503.80"
"313",1991-03-28,"506.55"
"314",1991-03-29,"506.55"
"315",1991-04-01,"506.25"
"316",1991-04-02,"507.26"
"317",1991-04-03,"507.21"
"318",1991-04-04,"508.73"
"319",1991-04-05,"508.88"
"320",1991-04-08,"509.85"
"321",1991-04-09,"508.78"
"322",1991-04-10,"506.50"
"323",1991-04-11,"507.01"
"324",1991-04-12,"510.15"
"325",1991-04-15,"512.12"
"326",1991-04-16,"511.97"
"327",1991-04-17,"512.63"
"328",1991-04-18,"510.81"
"329",1991-04-19,"509.24"
"330",1991-04-22,"508.07"
"331",1991-04-23,"508.98"
"332",1991-04-24,"510.81"
"333",1991-04-25,"510.50"
"334",1991-04-26,"511.31"
"335",1991-04-29,"511.21"
"336",1991-04-30,"513.12"
"337",1991-05-01,"513.80"
"338",1991-05-02,"514.98"
"339",1991-05-03,"513.09"
"340",1991-05-06,"513.24"
"341",1991-05-07,"513.03"
"342",1991-05-08,"513.29"
"343",1991-05-09,"513.45"
"344",1991-05-10,"510.83"
"345",1991-05-13,"512.93"
"346",1991-05-14,"511.24"
"347",1991-05-15,"512.37"
"348",1991-05-16,"512.83"
"349",1991-05-17,"513.24"
"350",1991-05-20,"513.09"
"351",1991-05-21,"514.42"
"352",1991-05-22,"514.32"
"353",1991-05-23,"514.42"
"354",1991-05-24,"514.52"
"355",1991-05-28,"515.81"
"356",1991-05-29,"515.91"
"357",1991-05-30,"517.60"
"358",1991-05-31,"516.65"
"359",1991-06-03,"515.13"
"360",1991-06-04,"515.13"
"361",1991-06-05,"513.84"
"362",1991-06-06,"513.06"
"363",1991-06-07,"511.61"
"364",1991-06-10,"511.61"
"365",1991-06-11,"511.92"
"366",1991-06-12,"510.22"
"367",1991-06-13,"510.74"
"368",1991-06-14,"513.16"
"369",1991-06-17,"513.27"
"370",1991-06-18,"512.91"
"371",1991-06-19,"512.91"
"372",1991-06-20,"514.30"
"373",1991-06-21,"513.63"
"374",1991-06-24,"513.84"
"375",1991-06-25,"513.68"
"376",1991-06-26,"513.68"
"377",1991-06-27,"514.30"
"378",1991-06-28,"516.57"
"379",1991-07-01,"516.42"
"380",1991-07-02,"516.37"
"381",1991-07-03,"516.99"
"382",1991-07-05,"515.13"
"383",1991-07-08,"515.33"
"384",1991-07-09,"514.87"
"385",1991-07-10,"515.44"
"386",1991-07-11,"516.88"
"387",1991-07-12,"518.64"
"388",1991-07-15,"519.21"
"389",1991-07-16,"518.69"
"390",1991-07-17,"517.92"
"391",1991-07-18,"517.87"
"392",1991-07-19,"518.59"
"393",1991-07-22,"519.05"
"394",1991-07-23,"518.49"
"395",1991-07-24,"520.86"
"396",1991-07-25,"522.46"
"397",1991-07-26,"522.67"
"398",1991-07-29,"522.83"
"399",1991-07-30,"523.39"
"400",1991-07-31,"524.00"
"401",1991-08-01,"523.59"
"402",1991-08-02,"527.68"
"403",1991-08-05,"528.42"
"404",1991-08-06,"530.62"
"405",1991-08-07,"530.98"
"406",1991-08-08,"529.99"
"407",1991-08-09,"530.25"
"408",1991-08-12,"531.51"
"409",1991-08-13,"532.45"
"410",1991-08-14,"535.12"
"411",1991-08-15,"533.97"
"412",1991-08-16,"534.60"
"413",1991-08-19,"535.07"
"414",1991-08-20,"536.07"
"415",1991-08-21,"536.07"
"416",1991-08-22,"536.17"
"417",1991-08-23,"533.71"
"418",1991-08-26,"533.34"
"419",1991-08-27,"533.92"
"420",1991-08-28,"536.33"
"421",1991-08-29,"538.22"
"422",1991-08-30,"535.86"
"423",1991-09-03,"536.82"
"424",1991-09-04,"536.61"
"425",1991-09-05,"536.18"
"426",1991-09-06,"538.43"
"427",1991-09-09,"539.61"
"428",1991-09-10,"539.72"
"429",1991-09-11,"539.61"
"430",1991-09-12,"541.59"
"431",1991-09-13,"541.22"
"432",1991-09-16,"542.23"
"433",1991-09-17,"542.61"
"434",1991-09-18,"542.66"
"435",1991-09-19,"542.82"
"436",1991-09-20,"543.84"
"437",1991-09-23,"544.65"
"438",1991-09-24,"544.43"
"439",1991-09-25,"544.38"
"440",1991-09-26,"545.07"
"441",1991-09-27,"546.52"
"442",1991-09-30,"546.91"
"443",1991-10-01,"547.55"
"444",1991-10-02,"547.33"
"445",1991-10-03,"547.50"
"446",1991-10-04,"549.36"
"447",1991-10-07,"549.79"
"448",1991-10-08,"549.30"
"449",1991-10-09,"546.89"
"450",1991-10-10,"545.36"
"451",1991-10-11,"548.48"
"452",1991-10-15,"549.68"
"453",1991-10-16,"549.47"
"454",1991-10-17,"546.89"
"455",1991-10-18,"547.61"
"456",1991-10-21,"545.64"
"457",1991-10-22,"544.65"
"458",1991-10-23,"544.65"
"459",1991-10-24,"546.62"
"460",1991-10-25,"546.46"
"461",1991-10-28,"547.66"
"462",1991-10-29,"551.16"
"463",1991-10-30,"551.71"
"464",1991-10-31,"552.09"
"465",1991-11-01,"551.92"
"466",1991-11-04,"551.81"
"467",1991-11-05,"550.38"
"468",1991-11-06,"550.93"
"469",1991-11-07,"553.25"
"470",1991-11-08,"553.91"
"471",1991-11-12,"556.29"
"472",1991-11-13,"554.63"
"473",1991-11-14,"556.73"
"474",1991-11-15,"556.51"
"475",1991-11-18,"556.84"
"476",1991-11-19,"556.29"
"477",1991-11-20,"556.07"
"478",1991-11-21,"555.62"
"479",1991-11-22,"554.91"
"480",1991-11-25,"554.85"
"481",1991-11-26,"556.12"
"482",1991-11-27,"556.07"
"483",1991-11-29,"557.50"
"484",1991-12-02,"558.89"
"485",1991-12-03,"560.12"
"486",1991-12-04,"562.85"
"487",1991-12-05,"562.02"
"488",1991-12-06,"562.58"
"489",1991-12-09,"564.08"
"490",1991-12-10,"564.08"
"491",1991-12-11,"563.91"
"492",1991-12-12,"564.92"
"493",1991-12-13,"562.80"
"494",1991-12-16,"563.69"
"495",1991-12-17,"564.64"
"496",1991-12-18,"564.30"
"497",1991-12-19,"566.87"
"498",1991-12-20,"570.16"
"499",1991-12-23,"572.61"
"500",1991-12-24,"572.84"
"501",1991-12-26,"573.56"
"502",1991-12-27,"573.78"
"503",1991-12-30,"576.07"
"504",1991-12-31,"575.72"
"505",1992-01-02,"574.23"
"506",1992-01-03,"573.14"
"507",1992-01-06,"574.64"
"508",1992-01-07,"576.42"
"509",1992-01-08,"576.02"
"510",1992-01-09,"575.44"
"511",1992-01-10,"573.77"
"512",1992-01-13,"572.56"
"513",1992-01-14,"570.43"
"514",1992-01-15,"570.78"
"515",1992-01-16,"568.99"
"516",1992-01-17,"570.20"
"517",1992-01-21,"572.45"
"518",1992-01-22,"571.47"
"519",1992-01-23,"568.82"
"520",1992-01-24,"568.07"
"521",1992-01-27,"568.59"
"522",1992-01-28,"570.66"
"523",1992-01-29,"567.96"
"524",1992-01-30,"567.09"
"525",1992-01-31,"568.53"
"526",1992-02-03,"567.28"
"527",1992-02-04,"569.33"
"528",1992-02-05,"570.70"
"529",1992-02-06,"571.04"
"530",1992-02-07,"571.15"
"531",1992-02-10,"571.32"
"532",1992-02-11,"570.98"
"533",1992-02-12,"570.07"
"534",1992-02-13,"566.60"
"535",1992-02-14,"567.85"
"536",1992-02-18,"566.89"
"537",1992-02-19,"567.91"
"538",1992-02-20,"568.48"
"539",1992-02-21,"567.06"
"540",1992-02-24,"566.77"
"541",1992-02-25,"567.80"
"542",1992-02-26,"570.58"
"543",1992-02-27,"570.52"
"544",1992-02-28,"573.98"
"545",1992-03-02,"571.00"
"546",1992-03-03,"570.14"
"547",1992-03-04,"570.54"
"548",1992-03-05,"568.53"
"549",1992-03-06,"569.39"
"550",1992-03-09,"571.29"
"551",1992-03-10,"571.23"
"552",1992-03-11,"569.22"
"553",1992-03-12,"566.29"
"554",1992-03-13,"565.20"
"555",1992-03-16,"565.89"
"556",1992-03-17,"566.87"
"557",1992-03-18,"567.96"
"558",1992-03-19,"569.16"
"559",1992-03-20,"567.27"
"560",1992-03-23,"568.02"
"561",1992-03-24,"570.89"
"562",1992-03-25,"571.46"
"563",1992-03-26,"570.37"
"564",1992-03-27,"571.23"
"565",1992-03-30,"571.92"
"566",1992-03-31,"571.52"
"567",1992-04-01,"574.21"
"568",1992-04-02,"573.75"
"569",1992-04-03,"575.81"
"570",1992-04-06,"576.38"
"571",1992-04-07,"576.50"
"572",1992-04-08,"575.64"
"573",1992-04-09,"579.07"
"574",1992-04-10,"578.16"
"575",1992-04-13,"579.64"
"576",1992-04-14,"579.24"
"577",1992-04-15,"578.50"
"578",1992-04-16,"576.44"
"579",1992-04-20,"573.35"
"580",1992-04-21,"573.70"
"581",1992-04-22,"573.75"
"582",1992-04-23,"573.18"
"583",1992-04-24,"574.27"
"584",1992-04-27,"573.35"
"585",1992-04-28,"574.33"
"586",1992-04-29,"573.93"
"587",1992-04-30,"574.37"
"588",1992-05-01,"576.61"
"589",1992-05-04,"576.61"
"590",1992-05-05,"577.30"
"591",1992-05-06,"578.85"
"592",1992-05-07,"577.99"
"593",1992-05-08,"580.98"
"594",1992-05-11,"581.78"
"595",1992-05-12,"583.22"
"596",1992-05-13,"583.79"
"597",1992-05-14,"583.62"
"598",1992-05-15,"586.38"
"599",1992-05-18,"586.61"
"600",1992-05-19,"589.02"
"601",1992-05-20,"587.70"
"602",1992-05-21,"584.65"
"603",1992-05-22,"585.57"
"604",1992-05-26,"582.82"
"605",1992-05-27,"583.91"
"606",1992-05-28,"585.52"
"607",1992-05-29,"587.20"
"608",1992-06-01,"585.33"
"609",1992-06-02,"586.68"
"610",1992-06-03,"587.03"
"611",1992-06-04,"587.21"
"612",1992-06-05,"588.50"
"613",1992-06-08,"588.85"
"614",1992-06-09,"587.97"
"615",1992-06-10,"587.62"
"616",1992-06-11,"588.44"
"617",1992-06-12,"589.79"
"618",1992-06-15,"590.85"
"619",1992-06-16,"591.96"
"620",1992-06-17,"592.55"
"621",1992-06-18,"593.67"
"622",1992-06-19,"592.49"
"623",1992-06-22,"593.02"
"624",1992-06-23,"592.02"
"625",1992-06-24,"593.84"
"626",1992-06-25,"595.78"
"627",1992-06-26,"595.43"
"628",1992-06-29,"596.55"
"629",1992-06-30,"596.39"
"630",1992-07-01,"597.53"
"631",1992-07-02,"603.61"
"632",1992-07-06,"604.92"
"633",1992-07-07,"605.88"
"634",1992-07-08,"605.46"
"635",1992-07-09,"605.58"
"636",1992-07-10,"605.22"
"637",1992-07-13,"604.39"
"638",1992-07-14,"604.68"
"639",1992-07-15,"606.59"
"640",1992-07-16,"607.37"
"641",1992-07-17,"606.18"
"642",1992-07-20,"606.83"
"643",1992-07-21,"606.95"
"644",1992-07-22,"608.56"
"645",1992-07-23,"612.08"
"646",1992-07-24,"611.31"
"647",1992-07-27,"612.86"
"648",1992-07-28,"615.24"
"649",1992-07-29,"615.78"
"650",1992-07-30,"613.33"
"651",1992-07-31,"612.31"
"652",1992-08-03,"612.49"
"653",1992-08-04,"614.45"
"654",1992-08-05,"615.01"
"655",1992-08-06,"614.70"
"656",1992-08-07,"617.46"
"657",1992-08-10,"619.23"
"658",1992-08-11,"620.33"
"659",1992-08-12,"619.78"
"660",1992-08-13,"617.09"
"661",1992-08-14,"618.25"
"662",1992-08-17,"617.64"
"663",1992-08-18,"619.84"
"664",1992-08-19,"620.21"
"665",1992-08-20,"620.64"
"666",1992-08-21,"618.68"
"667",1992-08-24,"615.25"
"668",1992-08-25,"614.21"
"669",1992-08-26,"615.50"
"670",1992-08-27,"616.60"
"671",1992-08-28,"617.09"
"672",1992-08-31,"617.06"
"673",1992-09-01,"618.86"
"674",1992-09-02,"619.72"
"675",1992-09-03,"619.91"
"676",1992-09-04,"624.17"
"677",1992-09-08,"627.50"
"678",1992-09-09,"626.51"
"679",1992-09-10,"626.76"
"680",1992-09-11,"625.22"
"681",1992-09-14,"626.63"
"682",1992-09-15,"624.04"
"683",1992-09-16,"623.80"
"684",1992-09-17,"624.04"
"685",1992-09-18,"624.41"
"686",1992-09-21,"623.80"
"687",1992-09-22,"621.39"
"688",1992-09-23,"619.97"
"689",1992-09-24,"622.31"
"690",1992-09-25,"625.15"
"691",1992-09-28,"626.39"
"692",1992-09-29,"625.96"
"693",1992-09-30,"624.55"
"694",1992-10-01,"628.43"
"695",1992-10-02,"627.68"
"696",1992-10-05,"628.30"
"697",1992-10-06,"626.11"
"698",1992-10-07,"622.24"
"699",1992-10-08,"623.62"
"700",1992-10-09,"620.37"
"701",1992-10-13,"621.30"
"702",1992-10-14,"621.68"
"703",1992-10-15,"619.68"
"704",1992-10-16,"618.24"
"705",1992-10-19,"616.37"
"706",1992-10-20,"612.12"
"707",1992-10-21,"613.62"
"708",1992-10-22,"615.06"
"709",1992-10-23,"612.81"
"710",1992-10-26,"613.06"
"711",1992-10-27,"614.93"
"712",1992-10-28,"614.99"
"713",1992-10-29,"616.43"
"714",1992-10-30,"613.44"
"715",1992-11-02,"611.91"
"716",1992-11-03,"612.28"
"717",1992-11-04,"611.79"
"718",1992-11-05,"612.22"
"719",1992-11-06,"609.70"
"720",1992-11-09,"609.40"
"721",1992-11-10,"611.73"
"722",1992-11-12,"615.35"
"723",1992-11-13,"615.59"
"724",1992-11-16,"614.18"
"725",1992-11-17,"615.10"
"726",1992-11-18,"617.31"
"727",1992-11-19,"616.76"
"728",1992-11-20,"616.08"
"729",1992-11-23,"615.90"
"730",1992-11-24,"617.07"
"731",1992-11-25,"616.27"
"732",1992-11-27,"614.12"
"733",1992-11-30,"614.42"
"734",1992-12-01,"614.98"
"735",1992-12-02,"615.23"
"736",1992-12-03,"615.78"
"737",1992-12-04,"618.36"
"738",1992-12-07,"620.76"
"739",1992-12-08,"621.92"
"740",1992-12-09,"621.62"
"741",1992-12-10,"621.49"
"742",1992-12-11,"620.57"
"743",1992-12-14,"620.20"
"744",1992-12-15,"620.69"
"745",1992-12-16,"622.23"
"746",1992-12-17,"622.11"
"747",1992-12-18,"622.72"
"748",1992-12-21,"624.38"
"749",1992-12-22,"626.29"
"750",1992-12-23,"625.67"
"751",1992-12-24,"625.37"
"752",1992-12-28,"624.81"
"753",1992-12-29,"625.73"
"754",1992-12-30,"626.29"
"755",1992-12-31,"625.76"
"756",1993-01-04,"629.46"
"757",1993-01-05,"629.52"
"758",1993-01-06,"628.89"
"759",1993-01-07,"625.14"
"760",1993-01-08,"626.01"
"761",1993-01-11,"627.08"
"762",1993-01-12,"626.64"
"763",1993-01-13,"627.52"
"764",1993-01-14,"629.14"
"765",1993-01-15,"632.33"
"766",1993-01-19,"633.27"
"767",1993-01-20,"632.71"
"768",1993-01-21,"633.46"
"769",1993-01-22,"634.65"
"770",1993-01-25,"637.47"
"771",1993-01-26,"636.65"
"772",1993-01-27,"637.40"
"773",1993-01-28,"638.66"
"774",1993-01-29,"640.34"
"775",1993-02-01,"641.05"
"776",1993-02-02,"639.26"
"777",1993-02-03,"639.64"
"778",1993-02-04,"641.56"
"779",1993-02-05,"644.00"
"780",1993-02-08,"642.97"
"781",1993-02-09,"641.95"
"782",1993-02-10,"639.64"
"783",1993-02-11,"641.82"
"784",1993-02-12,"643.93"
"785",1993-02-16,"644.77"
"786",1993-02-17,"646.56"
"787",1993-02-18,"650.21"
"788",1993-02-19,"650.59"
"789",1993-02-22,"652.64"
"790",1993-02-23,"657.58"
"791",1993-02-24,"655.53"
"792",1993-02-25,"654.82"
"793",1993-02-26,"655.04"
"794",1993-03-01,"658.06"
"795",1993-03-02,"657.86"
"796",1993-03-03,"660.29"
"797",1993-03-04,"662.12"
"798",1993-03-05,"659.90"
"799",1993-03-08,"661.01"
"800",1993-03-09,"660.03"
"801",1993-03-10,"658.91"
"802",1993-03-11,"659.24"
"803",1993-03-12,"655.37"
"804",1993-03-15,"652.69"
"805",1993-03-16,"655.51"
"806",1993-03-17,"656.49"
"807",1993-03-18,"659.24"
"808",1993-03-19,"658.78"
"809",1993-03-22,"659.31"
"810",1993-03-23,"660.81"
"811",1993-03-24,"659.50"
"812",1993-03-25,"658.98"
"813",1993-03-26,"655.51"
"814",1993-03-29,"656.88"
"815",1993-03-30,"657.73"
"816",1993-03-31,"657.33"
"817",1993-04-01,"656.87"
"818",1993-04-02,"653.91"
"819",1993-04-05,"655.42"
"820",1993-04-06,"657.40"
"821",1993-04-07,"657.66"
"822",1993-04-08,"661.28"
"823",1993-04-12,"663.51"
"824",1993-04-13,"663.31"
"825",1993-04-14,"664.63"
"826",1993-04-15,"665.62"
"827",1993-04-16,"664.96"
"828",1993-04-19,"666.14"
"829",1993-04-20,"665.88"
"830",1993-04-21,"666.40"
"831",1993-04-22,"667.00"
"832",1993-04-23,"665.68"
"833",1993-04-26,"664.83"
"834",1993-04-27,"662.26"
"835",1993-04-28,"662.00"
"836",1993-04-29,"663.38"
"837",1993-04-30,"662.39"
"838",1993-05-03,"665.84"
"839",1993-05-04,"667.23"
"840",1993-05-05,"667.10"
"841",1993-05-06,"668.09"
"842",1993-05-07,"666.90"
"843",1993-05-10,"668.56"
"844",1993-05-11,"668.29"
"845",1993-05-12,"666.90"
"846",1993-05-13,"664.38"
"847",1993-05-14,"664.58"
"848",1993-05-17,"663.52"
"849",1993-05-18,"661.67"
"850",1993-05-19,"663.19"
"851",1993-05-20,"663.66"
"852",1993-05-21,"661.60"
"853",1993-05-24,"662.13"
"854",1993-05-25,"661.93"
"855",1993-05-26,"663.85"
"856",1993-05-27,"664.12"
"857",1993-05-28,"663.17"
"858",1993-06-01,"667.15"
"859",1993-06-02,"667.35"
"860",1993-06-03,"668.55"
"861",1993-06-04,"665.63"
"862",1993-06-07,"667.15"
"863",1993-06-08,"666.16"
"864",1993-06-09,"667.62"
"865",1993-06-10,"667.68"
"866",1993-06-11,"671.07"
"867",1993-06-14,"671.46"
"868",1993-06-15,"672.33"
"869",1993-06-16,"672.59"
"870",1993-06-17,"673.19"
"871",1993-06-18,"672.52"
"872",1993-06-21,"674.25"
"873",1993-06-22,"674.32"
"874",1993-06-23,"674.45"
