"","Date","LUATTRUU.Index"
"201",1994-10-03,"667.37"
"202",1994-10-04,"666.83"
"203",1994-10-05,"665.30"
"204",1994-10-06,"665.30"
"205",1994-10-07,"667.30"
"206",1994-10-11,"669.24"
"207",1994-10-12,"668.31"
"208",1994-10-13,"669.98"
"209",1994-10-14,"671.11"
"210",1994-10-17,"671.18"
"211",1994-10-18,"670.78"
"212",1994-10-19,"669.51"
"213",1994-10-20,"666.30"
"214",1994-10-21,"666.77"
"215",1994-10-24,"665.63"
"216",1994-10-25,"665.23"
"217",1994-10-26,"665.23"
"218",1994-10-27,"665.50"
"219",1994-10-28,"667.90"
"220",1994-10-31,"668.43"
"221",1994-11-01,"665.35"
"222",1994-11-02,"664.48"
"223",1994-11-03,"664.01"
"224",1994-11-04,"662.14"
"225",1994-11-07,"662.41"
"226",1994-11-08,"663.74"
"227",1994-11-09,"665.15"
"228",1994-11-10,"663.81"
"229",1994-11-14,"665.42"
"230",1994-11-15,"666.22"
"231",1994-11-16,"664.48"
"232",1994-11-17,"663.08"
"233",1994-11-18,"663.21"
"234",1994-11-21,"663.14"
"235",1994-11-22,"664.01"
"236",1994-11-23,"668.82"
"237",1994-11-25,"669.22"
"238",1994-11-28,"667.15"
"239",1994-11-29,"665.08"
"240",1994-11-30,"667.09"
"241",1994-12-01,"666.07"
"242",1994-12-02,"668.87"
"243",1994-12-05,"667.47"
"244",1994-12-06,"671.01"
"245",1994-12-07,"668.94"
"246",1994-12-08,"668.67"
"247",1994-12-09,"669.61"
"248",1994-12-12,"667.74"
"249",1994-12-13,"668.41"
"250",1994-12-14,"669.67"
"251",1994-12-15,"670.41"
"252",1994-12-16,"670.08"
"253",1994-12-19,"670.74"
"254",1994-12-20,"670.94"
"255",1994-12-21,"671.48"
"256",1994-12-22,"670.01"
"257",1994-12-23,"670.28"
"258",1994-12-27,"673.14"
"259",1994-12-28,"671.61"
"260",1994-12-29,"671.21"
"261",1994-12-30,"671.18"
"262",1995-01-03,"670.03"
"263",1995-01-04,"672.64"
"264",1995-01-05,"670.83"
"265",1995-01-06,"671.71"
"266",1995-01-09,"671.17"
"267",1995-01-10,"672.64"
"268",1995-01-11,"673.85"
"269",1995-01-12,"673.25"
"270",1995-01-13,"677.21"
"271",1995-01-17,"677.48"
"272",1995-01-18,"677.21"
"273",1995-01-19,"676.47"
"274",1995-01-20,"674.59"
"275",1995-01-23,"674.99"
"276",1995-01-24,"674.46"
"277",1995-01-25,"676.80"
"278",1995-01-26,"678.28"
"279",1995-01-27,"682.11"
"280",1995-01-30,"682.31"
"281",1995-01-31,"683.60"
"282",1995-02-01,"682.29"
"283",1995-02-02,"681.34"
"284",1995-02-03,"687.76"
"285",1995-02-06,"686.80"
"286",1995-02-07,"686.87"
"287",1995-02-08,"687.01"
"288",1995-02-09,"685.44"
"289",1995-02-10,"684.34"
"290",1995-02-13,"684.96"
"291",1995-02-14,"687.76"
"292",1995-02-15,"689.61"
"293",1995-02-16,"690.97"
"294",1995-02-17,"690.36"
"295",1995-02-21,"690.22"
"296",1995-02-22,"694.05"
"297",1995-02-23,"693.71"
"298",1995-02-24,"694.39"
"299",1995-02-27,"697.12"
"300",1995-02-28,"698.19"
"301",1995-03-01,"697.90"
"302",1995-03-02,"695.94"
"303",1995-03-03,"694.55"
"304",1995-03-06,"693.50"
"305",1995-03-07,"692.45"
"306",1995-03-08,"694.90"
"307",1995-03-09,"697.13"
"308",1995-03-10,"698.81"
"309",1995-03-13,"700.41"
"310",1995-03-14,"703.69"
"311",1995-03-15,"703.62"
"312",1995-03-16,"704.46"
"313",1995-03-17,"703.20"
"314",1995-03-20,"702.93"
"315",1995-03-21,"701.81"
"316",1995-03-22,"701.11"
"317",1995-03-23,"700.97"
"318",1995-03-24,"704.53"
"319",1995-03-27,"706.35"
"320",1995-03-28,"703.34"
"321",1995-03-29,"704.04"
"322",1995-03-30,"702.99"
"323",1995-03-31,"702.58"
"324",1995-04-03,"704.88"
"325",1995-04-04,"705.59"
"326",1995-04-05,"705.80"
"327",1995-04-06,"707.06"
"328",1995-04-07,"706.50"
"329",1995-04-10,"706.71"
"330",1995-04-11,"707.55"
"331",1995-04-12,"708.26"
"332",1995-04-13,"710.36"
"333",1995-04-17,"710.01"
"334",1995-04-18,"710.71"
"335",1995-04-19,"710.79"
"336",1995-04-20,"711.91"
"337",1995-04-21,"712.33"
"338",1995-04-24,"713.03"
"339",1995-04-25,"712.68"
"340",1995-04-26,"712.75"
"341",1995-04-27,"711.84"
"342",1995-04-28,"711.77"
"343",1995-05-01,"711.26"
"344",1995-05-02,"712.75"
"345",1995-05-03,"715.89"
"346",1995-05-04,"719.44"
"347",1995-05-05,"725.35"
"348",1995-05-08,"725.28"
"349",1995-05-09,"728.27"
"350",1995-05-10,"726.92"
"351",1995-05-11,"725.85"
"352",1995-05-12,"725.78"
"353",1995-05-15,"727.84"
"354",1995-05-16,"730.33"
"355",1995-05-17,"730.76"
"356",1995-05-18,"728.77"
"357",1995-05-19,"728.91"
"358",1995-05-22,"728.69"
"359",1995-05-23,"730.90"
"360",1995-05-24,"735.46"
"361",1995-05-25,"736.52"
"362",1995-05-26,"736.45"
"363",1995-05-30,"739.72"
"364",1995-05-31,"740.55"
"365",1995-06-01,"744.02"
"366",1995-06-02,"747.79"
"367",1995-06-05,"748.61"
"368",1995-06-06,"748.31"
"369",1995-06-07,"745.42"
"370",1995-06-08,"743.79"
"371",1995-06-09,"738.02"
"372",1995-06-12,"739.06"
"373",1995-06-13,"747.20"
"374",1995-06-14,"747.05"
"375",1995-06-15,"745.50"
"376",1995-06-16,"744.90"
"377",1995-06-19,"748.09"
"378",1995-06-20,"747.20"
"379",1995-06-21,"748.16"
"380",1995-06-22,"751.79"
"381",1995-06-23,"750.53"
"382",1995-06-26,"749.13"
"383",1995-06-27,"748.09"
"384",1995-06-28,"749.94"
"385",1995-06-29,"744.02"
"386",1995-06-30,"746.39"
"387",1995-07-03,"746.60"
"388",1995-07-05,"747.72"
"389",1995-07-06,"753.54"
"390",1995-07-07,"753.69"
"391",1995-07-10,"754.21"
"392",1995-07-11,"751.82"
"393",1995-07-12,"752.64"
"394",1995-07-13,"752.57"
"395",1995-07-14,"750.55"
"396",1995-07-17,"748.09"
"397",1995-07-18,"746.45"
"398",1995-07-19,"741.45"
"399",1995-07-20,"741.75"
"400",1995-07-21,"738.69"
"401",1995-07-24,"741.08"
"402",1995-07-25,"742.49"
"403",1995-07-26,"740.93"
"404",1995-07-27,"743.09"
"405",1995-07-28,"741.30"
"406",1995-07-31,"743.62"
"407",1995-08-01,"741.45"
"408",1995-08-02,"743.76"
"409",1995-08-03,"741.30"
"410",1995-08-04,"742.57"
"411",1995-08-07,"743.61"
"412",1995-08-08,"743.90"
"413",1995-08-09,"742.86"
"414",1995-08-10,"741.45"
"415",1995-08-11,"738.25"
"416",1995-08-14,"739.15"
"417",1995-08-15,"739.82"
"418",1995-08-16,"741.15"
"419",1995-08-17,"740.34"
"420",1995-08-18,"740.63"
"421",1995-08-21,"742.57"
"422",1995-08-22,"741.53"
"423",1995-08-23,"740.86"
"424",1995-08-24,"744.35"
"425",1995-08-25,"748.96"
"426",1995-08-28,"750.07"
"427",1995-08-29,"749.11"
"428",1995-08-30,"750.37"
"429",1995-08-31,"752.24"
"430",1995-09-01,"753.96"
"431",1995-09-05,"756.22"
"432",1995-09-06,"756.14"
"433",1995-09-07,"754.86"
"434",1995-09-08,"754.26"
"435",1995-09-11,"754.79"
"436",1995-09-12,"757.49"
"437",1995-09-13,"756.52"
"438",1995-09-14,"760.05"
"439",1995-09-15,"759.22"
"440",1995-09-18,"757.27"
"441",1995-09-19,"758.77"
"442",1995-09-20,"760.20"
"443",1995-09-21,"756.29"
"444",1995-09-22,"755.54"
"445",1995-09-25,"755.69"
"446",1995-09-26,"755.01"
"447",1995-09-27,"754.94"
"448",1995-09-28,"755.09"
"449",1995-09-29,"759.45"
"450",1995-10-02,"759.67"
"451",1995-10-03,"761.11"
"452",1995-10-04,"762.78"
"453",1995-10-05,"763.46"
"454",1995-10-06,"763.77"
"455",1995-10-10,"764.22"
"456",1995-10-11,"764.15"
"457",1995-10-12,"765.44"
"458",1995-10-13,"769.39"
"459",1995-10-16,"769.08"
"460",1995-10-17,"769.84"
"461",1995-10-18,"768.93"
"462",1995-10-19,"769.69"
"463",1995-10-20,"767.72"
"464",1995-10-23,"767.18"
"465",1995-10-24,"769.69"
"466",1995-10-25,"770.30"
"467",1995-10-26,"768.63"
"468",1995-10-27,"769.61"
"469",1995-10-30,"770.15"
"470",1995-10-31,"771.19"
"471",1995-11-01,"773.11"
"472",1995-11-02,"775.11"
"473",1995-11-03,"774.65"
"474",1995-11-06,"774.26"
"475",1995-11-07,"773.11"
"476",1995-11-08,"775.81"
"477",1995-11-09,"774.42"
"478",1995-11-10,"773.11"
"479",1995-11-13,"775.11"
"480",1995-11-14,"774.96"
"481",1995-11-15,"773.95"
"482",1995-11-16,"776.19"
"483",1995-11-17,"776.96"
"484",1995-11-20,"776.88"
"485",1995-11-21,"775.73"
"486",1995-11-22,"775.57"
"487",1995-11-24,"777.12"
"488",1995-11-27,"778.58"
"489",1995-11-28,"778.43"
"490",1995-11-29,"779.81"
"491",1995-11-30,"783.14"
"492",1995-12-01,"784.62"
"493",1995-12-04,"788.14"
"494",1995-12-05,"787.12"
"495",1995-12-06,"786.97"
"496",1995-12-07,"785.32"
"497",1995-12-08,"785.25"
"498",1995-12-11,"786.65"
"499",1995-12-12,"786.26"
"500",1995-12-13,"785.87"
"501",1995-12-14,"785.87"
"502",1995-12-15,"785.87"
"503",1995-12-18,"782.19"
"504",1995-12-19,"786.26"
"505",1995-12-20,"786.18"
"506",1995-12-21,"786.11"
"507",1995-12-22,"788.30"
"508",1995-12-26,"789.63"
"509",1995-12-27,"790.96"
"510",1995-12-28,"792.45"
"511",1995-12-29,"794.35"
"512",1996-01-02,"794.02"
"513",1996-01-03,"795.05"
"514",1996-01-04,"792.99"
"515",1996-01-05,"791.87"
"516",1996-01-08,"792.27"
"517",1996-01-09,"792.11"
"518",1996-01-10,"788.30"
"519",1996-01-11,"789.25"
"520",1996-01-12,"789.89"
"521",1996-01-16,"793.62"
"522",1996-01-17,"796.80"
"523",1996-01-18,"798.07"
"524",1996-01-19,"798.31"
"525",1996-01-22,"795.77"
"526",1996-01-23,"794.65"
"527",1996-01-24,"796.80"
"528",1996-01-25,"793.38"
"529",1996-01-26,"796.24"
"530",1996-01-29,"794.97"
"531",1996-01-30,"797.59"
"532",1996-01-31,"799.36"
"533",1996-02-01,"798.15"
"534",1996-02-02,"796.63"
"535",1996-02-05,"796.47"
"536",1996-02-06,"797.27"
"537",1996-02-07,"797.27"
"538",1996-02-08,"797.43"
"539",1996-02-09,"797.99"
"540",1996-02-12,"800.71"
"541",1996-02-13,"801.75"
"542",1996-02-14,"800.31"
"543",1996-02-15,"797.35"
"544",1996-02-16,"795.03"
"545",1996-02-20,"787.20"
"546",1996-02-21,"787.60"
"547",1996-02-22,"789.60"
"548",1996-02-23,"787.12"
"549",1996-02-26,"786.56"
"550",1996-02-27,"784.88"
"551",1996-02-29,"782.99"
"552",1996-03-01,"787.68"
"553",1996-03-04,"790.41"
"554",1996-03-05,"788.07"
"555",1996-03-06,"785.48"
"556",1996-03-07,"784.70"
"557",1996-03-08,"771.94"
"558",1996-03-11,"776.09"
"559",1996-03-12,"774.76"
"560",1996-03-13,"774.52"
"561",1996-03-14,"774.60"
"562",1996-03-15,"770.69"
"563",1996-03-18,"772.18"
"564",1996-03-19,"772.88"
"565",1996-03-20,"775.93"
"566",1996-03-21,"777.19"
"567",1996-03-22,"776.17"
"568",1996-03-25,"779.30"
"569",1996-03-26,"779.14"
"570",1996-03-27,"775.15"
"571",1996-03-28,"772.80"
"572",1996-03-29,"776.22"
"573",1996-04-01,"776.90"
"574",1996-04-02,"778.84"
"575",1996-04-03,"777.83"
"576",1996-04-04,"776.13"
"577",1996-04-05,"768.37"
"578",1996-04-08,"766.89"
"579",1996-04-09,"769.14"
"580",1996-04-10,"766.89"
"581",1996-04-11,"765.50"
"582",1996-04-12,"771.63"
"583",1996-04-15,"773.49"
"584",1996-04-16,"773.49"
"585",1996-04-17,"772.09"
"586",1996-04-18,"770.70"
"587",1996-04-19,"772.64"
"588",1996-04-22,"774.65"
"589",1996-04-23,"774.11"
"590",1996-04-24,"772.64"
"591",1996-04-25,"773.10"
"592",1996-04-26,"774.19"
"593",1996-04-29,"773.10"
"594",1996-04-30,"771.25"
"595",1996-05-01,"771.16"
"596",1996-05-02,"765.53"
"597",1996-05-03,"763.75"
